SD_SUB_SYSTEM,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB2_1-2-L2-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB2_1-2-L2-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB2_1-2-L2-03-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB2_1-2-L2-03-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB2_1-2-L3-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB2_1-2-L3-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB2_1-2-L3-03-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB2_1-2-L3-03-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB1_2-1-L1-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB1_2-1-L1-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB1_2-1-L1-03-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB1_2-1-L1-03-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB1_2-1-L2-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB1_2-1-L2-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB1_2-1-L3-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB1_2-1-L3-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB1_2-1-L3-03-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB1_2-1-L3-03-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L1-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L1-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L1-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L1-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L1-03-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L1-03-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L2-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L2-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L2-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L2-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L2-04-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L2-04-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L3-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L3-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L3-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L3-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L3-04-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-JB2_1-2-L3-04-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-JB2_1-2-L3-05-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-JB2_1-2-L3-05-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,A,S.S CABLE TAGS SHOULD BE INSTALL.
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,C,Cleaning TRAY shall be done
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,B,CAP shall be installed.
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,B,Touch up shall be done.
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,A,Termination shall be done.
LS-09,EL,04-EJB1_1-3-L1-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1_1-3-L1-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,A,Termination shall be done.
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,B,Touch up shall be done.
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,B,CAP shall be installed.
LS-09,EL,04-EJB1_1-3-L1-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1_1-3-L1-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,B,CAP shall be installed.
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,B,Touch up shall be done.
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,A,Termination shall be done.
LS-09,EL,04-EJB1_1-3-L2-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1_1-3-L2-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,A,Termination shall be done.
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,B,Touch up shall be done.
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,B,CAP shall be installed.
LS-09,EL,04-EJB1_1-3-L2-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1_1-3-L2-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,B,CAP shall be installed.
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,B,Touch up shall be done.
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,A,Termination shall be done.
LS-09,EL,04-EJB1_1-3-L3-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1_1-3-L3-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,A,Termination shall be done.
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,B,Touch up shall be done.
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,B,CAP shall be installed.
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.
LS-09,EL,04-EJB1_1-3-L3-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1_1-3-L3-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,A,Cable Location shall be done
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,B,Trench is not cleaning.
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,B,Trench is not cleaning.
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,A,Cable Location shall be done
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,B,Touch up support shall be done.
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,A,tag no S.S shall be installed.
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,C,CAP IS NOT COMPLETE.
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,C,Filling of additional support holes should be done.
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,C,WASHER HIGHTING IS NOT COMPLETE.
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,A,Cable Location shall be done
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,Trench is not cleaning.
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,C,WASHER HIGHTING IS NOT COMPLETE.
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,C,CAP IS NOT COMPLETE.
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,C,Filling of additional support holes should be done.
